EC-Lab ASCII FILE
Nb header lines : 70                          

Cyclic Voltammetry Advanced

Run on channel : 1 (SN 1732)
User : 
Electrode connection : standard
Ewe ctrl range : min = -10,00 V, max = 10,00 V
Ewe,I filtering : 50 kHz
Safety Limits :
	Do not start on E overload
Channel : Grounded
Acquisition started on : 06/21/2021 17:22:49.735
Loaded Setting File :  NONE
Saved on :
	File : Cubes_Tim_01MKHCO3_21062021_B_t1_02_CVA_C01.mpr
	Directory : C:\Users\DEMS 2019\Documents\EC-Lab\Data\Jorge\
	Host : 192.168.1.101
Device : SP-200 (SN 0161)
Address : USB
EC-Lab for windows v11.36 (software)
Internet server v11.36 (firmware)
Command interpretor v11.36 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Cable : standard
Reference electrode : SCE Saturated Calomel Electrode (0,241 V)
Electrode surface area : 0,001 cm²
Characteristic mass : 0,001 g
Equivalent Weight : 0,000 g/eq.
Density : 0,000 g/cm3
Cycle Definition : Charge/Discharge alternance
Ei (V)              -0,010              
vs.                 Ref                 
ti (h:m:s)          0:00:0,0000         
dti (s)             1,0000              
dE/dt               10,000              
dE/dt unit          mV/s                
E1 (V)              0,540               
vs.                 Ref                 
t1 (h:m:s)          0:00:0,0000         
dt1 (s)             0,0000              
Step percent        50                  
N                   20                  
E range min (V)     -10,000             
E range max (V)     10,000              
I Range             100 mA              
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           6                   
E2 (V)              -1,250              
vs.                 Ref                 
t2 (h:m:s)          0:00:0,0000         
dt2 (s)             0,1000              
nc cycles           200                 
nr                  1                   
Reverse Scan        1                   
Ef (V)              0,490               
vs.                 Ref                 
tf (h:m:s)          0:10:0,0000         
dtf (s)             0,1000              

Number of loops : 1
Loop 0 from point number 0 to 9824

mode	ox/red	error	control changes	Ns changes	counter inc.	time/s	control/V	Ewe/V	<I>/mA	cycle number	(Q-Qo)/C	I Range	P/W	
2	0	0	1	0	0	5,243076082638428E+003	-8,9695162E-001	-8,9750105E-001	-3,771142549499807E+000	1,500000000000000E+001	-1,1752563E+001	38	3,3846044E-003
2	0	0	1	0	0	5,243742682630356E+003	-9,0361756E-001	-9,0418273E-001	-3,895099705660385E+000	1,500000000000000E+001	-1,1755121E+001	38	3,5218820E-003
2	0	0	1	0	0	5,244409082622289E+003	-9,1028160E-001	-9,1079575E-001	-4,019220647151556E+000	1,500000000000000E+001	-1,1757760E+001	38	3,6606891E-003
2	0	0	1	0	0	5,245075682614217E+003	-9,1694748E-001	-9,1751003E-001	-4,132999545419793E+000	1,500000000000000E+001	-1,1760480E+001	38	3,7920685E-003
2	0	0	1	0	0	5,245742282606167E+003	-9,2361349E-001	-9,2413026E-001	-4,244772323741714E+000	1,500000000000000E+001	-1,1763274E+001	38	3,9227228E-003
2	0	0	1	0	0	5,246408782598097E+003	-9,3027848E-001	-9,3076545E-001	-4,359461323085872E+000	1,500000000000000E+001	-1,1766144E+001	38	4,0576360E-003
2	0	0	1	0	0	5,247075282590027E+003	-9,3694347E-001	-9,3736535E-001	-4,484058956422125E+000	1,500000000000000E+001	-1,1769094E+001	38	4,2032017E-003
2	0	0	1	0	0	5,247741882581962E+003	-9,4360954E-001	-9,4409525E-001	-4,621193340077475E+000	1,500000000000000E+001	-1,1772131E+001	38	4,3628467E-003
2	0	0	1	0	0	5,248408482573883E+003	-9,5027542E-001	-9,5079410E-001	-4,760265269451580E+000	1,500000000000000E+001	-1,1775260E+001	38	4,5260321E-003
2	0	0	1	0	0	5,249074882565823E+003	-9,5693976E-001	-9,5745963E-001	-4,897126295930910E+000	1,500000000000000E+001	-1,1778481E+001	38	4,6888008E-003
2	0	0	1	0	0	5,249741482557743E+003	-9,6360570E-001	-9,6418548E-001	-5,047826118289407E+000	1,500000000000000E+001	-1,1781797E+001	38	4,8670406E-003
2	0	0	1	0	0	5,250408082549657E+003	-9,7027153E-001	-9,7075158E-001	-5,191648873891928E+000	1,500000000000000E+001	-1,1785213E+001	38	5,0398014E-003
2	0	0	1	0	0	5,251074482541604E+003	-9,7693563E-001	-9,7746265E-001	-5,316359560304690E+000	1,500000000000000E+001	-1,1788715E+001	38	5,1965429E-003
2	0	0	1	0	0	5,251741082533525E+003	-9,8360169E-001	-9,8419684E-001	-5,436579124804673E+000	1,500000000000000E+001	-1,1792301E+001	38	5,3506638E-003
2	0	0	1	0	0	5,252407682525445E+003	-9,9026757E-001	-9,9090910E-001	-5,583384332917703E+000	1,500000000000000E+001	-1,1795977E+001	38	5,5326265E-003
2	0	0	1	0	0	5,253074182517375E+003	-9,9693257E-001	-9,9748915E-001	-5,706540907876587E+000	1,500000000000000E+001	-1,1799741E+001	38	5,6922128E-003
2	0	0	1	0	0	5,253740682509313E+003	-1,0035976E+000	-1,0041412E+000	-5,835611860010950E+000	1,500000000000000E+001	-1,1803589E+001	38	5,8597783E-003
2	0	0	1	0	0	5,254407282501255E+003	-1,0102638E+000	-1,0107942E+000	-5,976680582159943E+000	1,500000000000000E+001	-1,1807528E+001	38	6,0411938E-003
2	0	0	1	0	0	5,255073882493190E+003	-1,0169296E+000	-1,0174533E+000	-6,152692170456447E+000	1,500000000000000E+001	-1,1811574E+001	38	6,2600770E-003
2	0	0	1	0	0	5,255740282485101E+003	-1,0235937E+000	-1,0241652E+000	-6,263672864326910E+000	1,500000000000000E+001	-1,1815714E+001	38	6,4150356E-003
2	0	0	1	0	0	5,256406882477051E+003	-1,0302596E+000	-1,0307664E+000	-6,374016985628316E+000	1,500000000000000E+001	-1,1819928E+001	38	6,5701222E-003
2	0	0	1	0	0	5,257073482468986E+003	-1,0369254E+000	-1,0373974E+000	-6,469863565875926E+000	1,500000000000000E+001	-1,1824211E+001	38	6,7118197E-003
2	0	0	1	0	0	5,257739882460912E+003	-1,0435895E+000	-1,0440784E+000	-6,622125807657312E+000	1,500000000000000E+001	-1,1828576E+001	38	6,9140182E-003
2	0	0	1	0	0	5,258406482452847E+003	-1,0502555E+000	-1,0507661E+000	-6,800647480428253E+000	1,500000000000000E+001	-1,1833053E+001	38	7,1458900E-003
2	0	0	1	0	0	5,259073082444767E+003	-1,0569216E+000	-1,0574279E+000	-6,921255303579045E+000	1,500000000000000E+001	-1,1837629E+001	38	7,3187281E-003
2	0	0	1	0	0	5,259739582436698E+003	-1,0635866E+000	-1,0641961E+000	-7,036530310944073E+000	1,500000000000000E+001	-1,1842282E+001	38	7,4882484E-003
2	0	0	1	0	0	5,260406082428628E+003	-1,0702517E+000	-1,0707252E+000	-7,178351126262982E+000	1,500000000000000E+001	-1,1847021E+001	38	7,6860413E-003
2	0	0	1	0	0	5,261072682420541E+003	-1,0769176E+000	-1,0774490E+000	-7,372277641027864E+000	1,500000000000000E+001	-1,1851873E+001	38	7,9432530E-003
2	0	0	1	0	0	5,261739282412469E+003	-1,0835836E+000	-1,0841479E+000	-7,539755505155100E+000	1,500000000000000E+001	-1,1856847E+001	38	8,1742108E-003
2	0	0	1	0	0	5,262405682404402E+003	-1,0902476E+000	-1,0908561E+000	-7,751610003757762E+000	1,500000000000000E+001	-1,1861944E+001	38	8,4558912E-003
2	0	0	1	0	0	5,263072282396330E+003	-1,0969136E+000	-1,0975572E+000	-7,971599466008378E+000	1,500000000000000E+001	-1,1867188E+001	38	8,7492866E-003
2	0	0	1	0	0	5,263738882388279E+003	-1,1035795E+000	-1,1041557E+000	-8,210664165262358E+000	1,500000000000000E+001	-1,1872586E+001	38	9,0658516E-003
2	0	0	1	0	0	5,264405282380190E+003	-1,1102437E+000	-1,1108319E+000	-8,430916073606539E+000	1,500000000000000E+001	-1,1878135E+001	38	9,3653305E-003
2	0	0	1	0	0	5,265071882372140E+003	-1,1169095E+000	-1,1174535E+000	-8,679970723712792E+000	1,500000000000000E+001	-1,1883842E+001	38	9,6994629E-003
2	0	0	1	0	0	5,265738482364075E+003	-1,1235756E+000	-1,1241828E+000	-8,902573878392076E+000	1,500000000000000E+001	-1,1889706E+001	38	1,0008121E-002
2	0	0	1	0	0	5,266404982355976E+003	-1,1302407E+000	-1,1307929E+000	-9,113670326907558E+000	1,500000000000000E+001	-1,1895715E+001	38	1,0305673E-002
2	0	0	1	0	0	5,267071482347907E+003	-1,1369057E+000	-1,1374339E+000	-9,281626566177209E+000	1,500000000000000E+001	-1,1901848E+001	38	1,0557236E-002
2	0	0	1	0	0	5,267738082339856E+003	-1,1435717E+000	-1,1440830E+000	-9,574985190377021E+000	1,500000000000000E+001	-1,1908137E+001	38	1,0954578E-002
2	0	0	1	0	0	5,268404682331769E+003	-1,1502378E+000	-1,1506901E+000	-9,777453277300125E+000	1,500000000000000E+001	-1,1914592E+001	38	1,1250818E-002
2	0	0	1	0	0	5,269071082323717E+003	-1,1569018E+000	-1,1574038E+000	-1,001377424385862E+001	1,500000000000000E+001	-1,1921191E+001	38	1,1589981E-002
2	0	0	1	0	0	5,269737682315630E+003	-1,1635678E+000	-1,1641064E+000	-1,018212670356141E+001	1,500000000000000E+001	-1,1927925E+001	38	1,1853078E-002
2	0	0	1	0	0	5,270404282307558E+003	-1,1702338E+000	-1,1707639E+000	-1,043549049222020E+001	1,500000000000000E+001	-1,1934800E+001	38	1,2217495E-002
2	0	0	1	0	0	5,271070682299491E+003	-1,1768976E+000	-1,1774449E+000	-1,069983695582349E+001	1,500000000000000E+001	-1,1941847E+001	38	1,2598469E-002
2	0	0	1	0	0	5,271737282291419E+003	-1,1835637E+000	-1,1842031E+000	-1,095575710471423E+001	1,500000000000000E+001	-1,1949069E+001	38	1,2973842E-002
2	0	0	1	0	0	5,272403882283368E+003	-1,1902297E+000	-1,1907400E+000	-1,118476579178381E+001	1,500000000000000E+001	-1,1956452E+001	38	1,3318148E-002
2	0	0	1	0	0	5,273070482275274E+003	-1,1968956E+000	-1,1973808E+000	-1,142323787550713E+001	1,500000000000000E+001	-1,1963991E+001	38	1,3677966E-002
2	0	0	1	0	0	5,273736882267229E+003	-1,2035598E+000	-1,2040764E+000	-1,168852459619606E+001	1,500000000000000E+001	-1,1971696E+001	38	1,4073877E-002
2	0	0	1	0	0	5,274403482259135E+003	-1,2102256E+000	-1,2107621E+000	-1,200305539602087E+001	1,500000000000000E+001	-1,1979597E+001	38	1,4532845E-002
2	0	0	1	0	0	5,275070082251084E+003	-1,2168916E+000	-1,2174537E+000	-1,235728491130342E+001	1,500000000000000E+001	-1,1987721E+001	38	1,5044423E-002
2	0	0	1	0	0	5,275736482242995E+003	-1,2235557E+000	-1,2241824E+000	-1,262233956950666E+001	1,500000000000000E+001	-1,1996050E+001	38	1,5452046E-002
2	0	0	1	0	0	5,276403082234945E+003	-1,2302216E+000	-1,2308415E+000	-1,289135691370535E+001	1,500000000000000E+001	-1,2004557E+001	38	1,5867217E-002
2	0	0	1	0	0	5,277069682226880E+003	-1,2368876E+000	-1,2374862E+000	-1,312412265586367E+001	1,500000000000000E+001	-1,2013232E+001	38	1,6240921E-002
2	0	0	1	0	0	5,277736082218820E+003	-1,2435519E+000	-1,2441692E+000	-1,340840516699529E+001	1,500000000000000E+001	-1,2022078E+001	38	1,6682325E-002
2	0	0	1	0	0	5,278219382212948E+003	-1,2483845E+000	-1,2489555E+000	-1,363988389866719E+001	1,500000000000000E+001	-1,2028598E+001	38	1,7035607E-002
2	0	0	1	0	1	5,278364882211172E+003	-1,2500507E+000	-1,2505944E+000	-1,377176284790039E+001	1,500000000000000E+001	-1,2030584E+001	38	1,7222889E-002
2	0	0	1	0	1	5,278714582206943E+003	-1,2465521E+000	-1,2471336E+000	-1,357794329040635E+001	1,500000000000000E+001	-1,2035335E+001	38	1,6933510E-002
2	0	0	1	0	1	5,279381082198903E+003	-1,2398870E+000	-1,2404407E+000	-1,331161538274958E+001	1,500000000000000E+001	-1,2044291E+001	38	1,6512269E-002
2	0	0	1	0	1	5,280047682190823E+003	-1,2332208E+000	-1,2337438E+000	-1,308295423561022E+001	1,500000000000000E+001	-1,2053084E+001	38	1,6141014E-002
2	0	0	1	0	1	5,280714282182737E+003	-1,2265551E+000	-1,2270263E+000	-1,287560017049265E+001	1,500000000000000E+001	-1,2061733E+001	38	1,5798701E-002
2	0	0	1	0	1	5,281380682174684E+003	-1,2198910E+000	-1,2204000E+000	-1,258231260016491E+001	1,500000000000000E+001	-1,2070211E+001	38	1,5355454E-002
2	0	0	1	0	1	5,282047282166597E+003	-1,2132250E+000	-1,2137519E+000	-1,232904228994100E+001	1,500000000000000E+001	-1,2078510E+001	38	1,4964399E-002
2	0	0	1	0	1	5,282713882158525E+003	-1,2065589E+000	-1,2071128E+000	-1,203994105104076E+001	1,500000000000000E+001	-1,2086628E+001	38	1,4533567E-002
2	0	0	1	0	1	5,283380282150458E+003	-1,1998950E+000	-1,2004786E+000	-1,176810682258665E+001	1,500000000000000E+001	-1,2094556E+001	38	1,4127360E-002
2	0	0	1	0	1	5,284046882142386E+003	-1,1932290E+000	-1,1937592E+000	-1,148843105079929E+001	1,500000000000000E+001	-1,2102302E+001	38	1,3714421E-002
2	0	0	1	0	1	5,284713482134335E+003	-1,1865629E+000	-1,1870927E+000	-1,126539801791281E+001	1,500000000000000E+001	-1,2109880E+001	38	1,3373071E-002
2	0	0	1	0	1	5,285379982126266E+003	-1,1798980E+000	-1,1804579E+000	-1,103963026653420E+001	1,500000000000000E+001	-1,2117310E+001	38	1,3031819E-002
2	0	0	1	0	1	5,286046482118196E+003	-1,1732330E+000	-1,1738296E+000	-1,077350510301567E+001	1,500000000000000E+001	-1,2124575E+001	38	1,2646259E-002
2	0	0	1	0	1	5,286713082110102E+003	-1,1665670E+000	-1,1672074E+000	-1,056802771710073E+001	1,500000000000000E+001	-1,2131682E+001	38	1,2335080E-002
2	0	0	1	0	1	5,287379682102051E+003	-1,1599010E+000	-1,1605109E+000	-1,038637440146753E+001	1,500000000000000E+001	-1,2138663E+001	38	1,2053501E-002
2	0	0	1	0	1	5,288046082093962E+003	-1,1532370E+000	-1,1538229E+000	-1,017614934998768E+001	1,500000000000000E+001	-1,2145512E+001	38	1,1741474E-002
2	0	0	1	0	1	5,288712682085912E+003	-1,1465708E+000	-1,1471360E+000	-9,891884470783310E+000	1,500000000000000E+001	-1,2152196E+001	38	1,1347337E-002
2	0	0	1	0	1	5,289379282077825E+003	-1,1399047E+000	-1,1404774E+000	-9,560601144246952E+000	1,500000000000000E+001	-1,2158674E+001	38	1,0903650E-002
2	0	0	1	0	1	5,290045682069773E+003	-1,1332409E+000	-1,1338506E+000	-9,290955547249403E+000	1,500000000000000E+001	-1,2164950E+001	38	1,0534556E-002
2	0	0	1	0	1	5,290712282061686E+003	-1,1265750E+000	-1,1271782E+000	-9,023604032399589E+000	1,500000000000000E+001	-1,2171051E+001	38	1,0171209E-002
2	0	0	1	0	1	5,291378882053614E+003	-1,1199088E+000	-1,1204504E+000	-8,740324250988209E+000	1,500000000000000E+001	-1,2176968E+001	38	9,7930999E-003
2	0	0	1	0	1	5,292045382045544E+003	-1,1132439E+000	-1,1137551E+000	-8,518179965999508E+000	1,500000000000000E+001	-1,2182715E+001	38	9,4871661E-003
2	0	0	1	0	1	5,292711882037474E+003	-1,1065789E+000	-1,1070343E+000	-8,361584748435682E+000	1,500000000000000E+001	-1,2188338E+001	38	9,2565613E-003
2	0	0	1	0	1	5,293378482029424E+003	-1,0999130E+000	-1,1004398E+000	-8,354521975672469E+000	1,500000000000000E+001	-1,2193908E+001	38	9,1936486E-003
2	0	0	1	0	1	5,294045082021330E+003	-1,0932469E+000	-1,0937687E+000	-8,462849672920381E+000	1,500000000000000E+001	-1,2199518E+001	38	9,2564002E-003
2	0	0	1	0	1	5,294711482013285E+003	-1,0865830E+000	-1,0871179E+000	-8,221172152687643E+000	1,500000000000000E+001	-1,2205074E+001	38	8,9373831E-003
2	0	0	1	0	1	5,295378082005191E+003	-1,0799170E+000	-1,0804840E+000	-7,979089511121913E+000	1,500000000000000E+001	-1,2210469E+001	38	8,6212792E-003
2	0	0	1	0	1	5,296044681997140E+003	-1,0732510E+000	-1,0738193E+000	-7,735525855057006E+000	1,500000000000000E+001	-1,2215703E+001	38	8,3065564E-003
2	0	0	1	0	1	5,296711081989080E+003	-1,0665869E+000	-1,0670849E+000	-7,489299680326752E+000	1,500000000000000E+001	-1,2220771E+001	38	7,9917191E-003
2	0	0	1	0	1	5,297377681981015E+003	-1,0599210E+000	-1,0604373E+000	-7,268641704646541E+000	1,500000000000000E+001	-1,2225686E+001	38	7,7079390E-003
2	0	0	1	0	1	5,298044281972936E+003	-1,0532550E+000	-1,0538099E+000	-7,051459450956656E+000	1,500000000000000E+001	-1,2230454E+001	38	7,4308976E-003
2	0	0	1	0	1	5,298710781964866E+003	-1,0465897E+000	-1,0471810E+000	-6,848325515099873E+000	1,500000000000000E+001	-1,2235083E+001	38	7,1714362E-003
2	0	0	1	0	1	5,299377281956797E+003	-1,0399247E+000	-1,0405453E+000	-6,698787930459048E+000	1,500000000000000E+001	-1,2239594E+001	38	6,9703925E-003
2	0	0	1	0	1	5,300043881948710E+003	-1,0332587E+000	-1,0338441E+000	-6,553639282790300E+000	1,500000000000000E+001	-1,2244008E+001	38	6,7754416E-003
2	0	0	1	0	1	5,300710481940638E+003	-1,0265927E+000	-1,0271577E+000	-6,432588273790358E+000	1,500000000000000E+001	-1,2248333E+001	38	6,6072824E-003
2	0	0	1	0	1	5,301376881932571E+003	-1,0199288E+000	-1,0204624E+000	-6,284451976102767E+000	1,500000000000000E+001	-1,2252569E+001	38	6,4130467E-003
2	0	0	1	0	1	5,302043481924498E+003	-1,0132629E+000	-1,0138462E+000	-6,120373671989306E+000	1,500000000000000E+001	-1,2256701E+001	38	6,2051173E-003
2	0	0	1	0	1	5,302710081916448E+003	-1,0065969E+000	-1,0070968E+000	-5,927626124424465E+000	1,500000000000000E+001	-1,2260714E+001	38	5,9696930E-003
2	0	0	1	0	1	5,303376481908359E+003	-9,9993277E-001	-1,0005049E+000	-5,764104392340560E+000	1,500000000000000E+001	-1,2264606E+001	38	5,7670143E-003
2	0	0	1	0	1	5,304043081900309E+003	-9,9326694E-001	-9,9387497E-001	-5,642152243295271E+000	1,500000000000000E+001	-1,2268406E+001	38	5,6075938E-003
2	0	0	1	0	1	5,304709681892244E+003	-9,8660088E-001	-9,8712426E-001	-5,466162137629304E+000	1,500000000000000E+001	-1,2272106E+001	38	5,3957812E-003
2	0	0	1	0	1	5,305376281884164E+003	-9,7993499E-001	-9,8043114E-001	-5,291777162659507E+000	1,500000000000000E+001	-1,2275689E+001	38	5,1882230E-003
2	0	0	1	0	1	5,306042681876104E+003	-9,7327089E-001	-9,7373670E-001	-5,120974668000258E+000	1,500000000000000E+001	-1,2279157E+001	38	4,9864808E-003
2	0	0	1	0	1	5,306709281868025E+003	-9,6660495E-001	-9,6699536E-001	-5,008225415891262E+000	1,500000000000000E+001	-1,2282531E+001	38	4,8429309E-003
2	0	0	1	0	1	5,307375881859938E+003	-9,5993900E-001	-9,6039110E-001	-4,874052025480225E+000	1,500000000000000E+001	-1,2285823E+001	38	4,6809963E-003
2	0	0	1	0	1	5,308042281851885E+003	-9,5327497E-001	-9,5375419E-001	-4,759762621225804E+000	1,500000000000000E+001	-1,2289031E+001	38	4,5396434E-003
2	0	0	1	0	1	5,308708881843799E+003	-9,4660878E-001	-9,4712776E-001	-4,643654235807126E+000	1,500000000000000E+001	-1,2292163E+001	38	4,3981336E-003
2	0	0	1	0	1	5,309375481835727E+003	-9,3994290E-001	-9,4040889E-001	-4,530156525804969E+000	1,500000000000000E+001	-1,2295218E+001	38	4,2601996E-003
2	0	0	1	0	1	5,310041881827659E+003	-9,3327868E-001	-9,3385160E-001	-4,368485753272438E+000	1,500000000000000E+001	-1,2298181E+001	38	4,0795174E-003
2	0	0	1	0	1	5,310708481819587E+003	-9,2661279E-001	-9,2716283E-001	-4,216858084916765E+000	1,500000000000000E+001	-1,2301039E+001	38	3,9097141E-003
2	0	0	1	0	1	5,311375081811537E+003	-9,1994673E-001	-9,2042857E-001	-4,095052722585264E+000	1,500000000000000E+001	-1,2303806E+001	38	3,7692036E-003
2	0	0	1	0	1	5,312041681803472E+003	-9,1328090E-001	-9,1382802E-001	-4,023930715337229E+000	1,500000000000000E+001	-1,2306511E+001	38	3,6771807E-003
2	0	0	1	0	1	5,312708081795397E+003	-9,0661681E-001	-9,0720212E-001	-3,933611762524038E+000	1,500000000000000E+001	-1,2309160E+001	38	3,5685808E-003
2	0	0	1	0	1	5,313374681787333E+003	-8,9995086E-001	-9,0053505E-001	-3,809939491844133E+000	1,500000000000000E+001	-1,2311739E+001	38	3,4309840E-003
2	0	0	1	0	1	5,314041281779253E+003	-8,9328498E-001	-8,9383703E-001	-3,679938861889212E+000	1,500000000000000E+001	-1,2314233E+001	38	3,2892656E-003
2	0	0	1	0	1	5,314707681771193E+003	-8,8662082E-001	-8,8718885E-001	-3,585341233915903E+000	1,500000000000000E+001	-1,2316651E+001	38	3,1808747E-003
2	0	0	1	0	1	5,315374281763114E+003	-8,7995487E-001	-8,8056880E-001	-3,471053084719440E+000	1,500000000000000E+001	-1,2319000E+001	38	3,0565010E-003
2	0	0	1	0	1	5,316040881755034E+003	-8,7328887E-001	-8,7388122E-001	-3,346164135652728E+000	1,500000000000000E+001	-1,2321270E+001	38	2,9241501E-003
2	0	0	1	0	1	5,316707381746965E+003	-8,6662382E-001	-8,6719418E-001	-3,220460101344791E+000	1,500000000000000E+001	-1,2323456E+001	38	2,7927642E-003
2	0	0	1	0	1	5,317373881738909E+003	-8,5995871E-001	-8,6048090E-001	-3,103158036641016E+000	1,500000000000000E+001	-1,2325562E+001	38	2,6702082E-003
2	0	0	1	0	1	5,318040481730823E+003	-8,5329258E-001	-8,5383022E-001	-2,989233811219250E+000	1,500000000000000E+001	-1,2327590E+001	38	2,5522981E-003
2	0	0	1	0	1	5,318707081722765E+003	-8,4662670E-001	-8,4710801E-001	-2,879897384913127E+000	1,500000000000000E+001	-1,2329545E+001	38	2,4395841E-003
2	0	0	1	0	1	5,319373481714683E+003	-8,3996290E-001	-8,4052080E-001	-2,769332331799696E+000	1,500000000000000E+001	-1,2331425E+001	38	2,3276815E-003
2	0	0	1	0	1	5,320040081706611E+003	-8,3329672E-001	-8,3389354E-001	-2,663102849081199E+000	1,500000000000000E+001	-1,2333235E+001	38	2,2207443E-003
2	0	0	1	0	1	5,320706681698561E+003	-8,2663083E-001	-8,2713562E-001	-2,566244642847330E+000	1,500000000000000E+001	-1,2334976E+001	38	2,1226325E-003
2	0	0	1	0	1	5,321373081690472E+003	-8,1996673E-001	-8,2048190E-001	-2,474431816525865E+000	1,500000000000000E+001	-1,2336654E+001	38	2,0302264E-003
2	0	0	1	0	1	5,322039681682421E+003	-8,1330073E-001	-8,1382525E-001	-2,383436241153614E+000	1,500000000000000E+001	-1,2338272E+001	38	1,9397006E-003
2	0	0	1	0	1	5,322706281674356E+003	-8,0663472E-001	-8,0706823E-001	-2,286701528810219E+000	1,500000000000000E+001	-1,2339828E+001	38	1,8455242E-003
2	0	0	1	0	1	5,323372781666258E+003	-7,9996985E-001	-8,0041414E-001	-2,188183224389377E+000	1,500000000000000E+001	-1,2341317E+001	38	1,7514528E-003
2	0	0	1	0	1	5,324039281658217E+003	-7,9330486E-001	-7,9380763E-001	-2,091797077480603E+000	1,500000000000000E+001	-1,2342742E+001	38	1,6604845E-003
2	0	0	1	0	1	5,324705881650138E+003	-7,8663874E-001	-7,8712928E-001	-2,003704277499843E+000	1,500000000000000E+001	-1,2344106E+001	38	1,5771743E-003
2	0	0	1	0	1	5,325372481642051E+003	-7,7997273E-001	-7,8053069E-001	-1,920768961447400E+000	1,500000000000000E+001	-1,2345411E+001	38	1,4992191E-003
2	0	0	1	0	1	5,326038881633998E+003	-7,7330875E-001	-7,7380127E-001	-1,839254676469693E+000	1,500000000000000E+001	-1,2346663E+001	38	1,4232176E-003
2	0	0	1	0	1	5,326705481625911E+003	-7,6664251E-001	-7,6715297E-001	-1,762746028333570E+000	1,500000000000000E+001	-1,2347861E+001	38	1,3522959E-003
2	0	0	1	0	1	5,327372081617839E+003	-7,5997663E-001	-7,6053405E-001	-1,681724479518536E+000	1,500000000000000E+001	-1,2349008E+001	38	1,2790087E-003
2	0	0	1	0	1	5,328038481609772E+003	-7,5331277E-001	-7,5389647E-001	-1,605422386196378E+000	1,500000000000000E+001	-1,2350101E+001	38	1,2103223E-003
2	0	0	1	0	1	5,328705081601700E+003	-7,4664676E-001	-7,4720502E-001	-1,540784362719091E+000	1,500000000000000E+001	-1,2351149E+001	38	1,1512818E-003
2	0	0	1	0	1	5,329371681593650E+003	-7,3998070E-001	-7,4051172E-001	-1,469900346201834E+000	1,500000000000000E+001	-1,2352151E+001	38	1,0884784E-003
2	0	0	1	0	1	5,330038181585580E+003	-7,3331571E-001	-7,3383695E-001	-1,400574565584656E+000	1,500000000000000E+001	-1,2353106E+001	38	1,0277934E-003
2	0	0	1	0	1	5,330704681577510E+003	-7,2665071E-001	-7,2711056E-001	-1,335090547181538E+000	1,500000000000000E+001	-1,2354016E+001	38	9,7075844E-004
2	0	0	1	0	1	5,331371281569416E+003	-7,1998483E-001	-7,2051960E-001	-1,272426519844760E+000	1,500000000000000E+001	-1,2354885E+001	38	9,1680826E-004
2	0	0	1	0	1	5,332037881561366E+003	-7,1331871E-001	-7,1380448E-001	-1,211620183998402E+000	1,500000000000000E+001	-1,2355712E+001	38	8,6485990E-004
2	0	0	1	0	1	5,332704281553277E+003	-7,0665479E-001	-7,0708734E-001	-1,153662767974339E+000	1,500000000000000E+001	-1,2356500E+001	38	8,1574032E-004
2	0	0	1	0	1	5,333370881545226E+003	-6,9998872E-001	-7,0043713E-001	-1,098789929208143E+000	1,500000000000000E+001	-1,2357249E+001	38	7,6963328E-004
2	0	0	1	0	1	5,334037481537140E+003	-6,9332278E-001	-6,9380885E-001	-1,046817083808985E+000	1,500000000000000E+001	-1,2357964E+001	38	7,2629098E-004
2	0	0	1	0	1	5,334703881529087E+003	-6,8665874E-001	-6,8710428E-001	-9,968652700514105E-001	1,500000000000000E+001	-1,2358644E+001	38	6,8495038E-004
2	0	0	1	0	1	5,335370481521008E+003	-6,7999274E-001	-6,8050528E-001	-9,517091304600331E-001	1,500000000000000E+001	-1,2359292E+001	38	6,4764306E-004
2	0	0	1	0	1	5,336037081512928E+003	-6,7332667E-001	-6,7377740E-001	-9,065314102134856E-001	1,500000000000000E+001	-1,2359910E+001	38	6,1080040E-004
2	0	0	1	0	1	5,336703581504858E+003	-6,6666156E-001	-6,6715533E-001	-8,633359586257940E-001	1,500000000000000E+001	-1,2360498E+001	38	5,7597918E-004
2	0	0	1	0	1	5,337370081496789E+003	-6,5999663E-001	-6,6055959E-001	-8,228135250950928E-001	1,500000000000000E+001	-1,2361059E+001	38	5,4351735E-004
2	0	0	1	0	1	5,338036681488738E+003	-6,5333074E-001	-6,5390450E-001	-7,840453265269307E-001	1,500000000000000E+001	-1,2361594E+001	38	5,1269075E-004
2	0	0	1	0	1	5,338703281480644E+003	-6,4666486E-001	-6,4718568E-001	-7,459666945917274E-001	1,500000000000000E+001	-1,2362103E+001	38	4,8277897E-004
2	0	0	1	0	1	5,339369681472599E+003	-6,4000064E-001	-6,4056098E-001	-7,116744137982423E-001	1,500000000000000E+001	-1,2362588E+001	38	4,5587088E-004
2	0	0	1	0	1	5,340036281464534E+003	-6,3333476E-001	-6,3383174E-001	-6,787940801080667E-001	1,500000000000000E+001	-1,2363051E+001	38	4,3024123E-004
2	0	0	1	0	1	5,340702881456455E+003	-6,2666887E-001	-6,2718850E-001	-6,482475461204302E-001	1,500000000000000E+001	-1,2363493E+001	38	4,0657341E-004
