EC-Lab ASCII FILE
Nb header lines : 70                          

Cyclic Voltammetry Advanced

Run on channel : 1 (SN 1732)
User : 
Electrode connection : standard
Ewe ctrl range : min = -10,00 V, max = 10,00 V
Ewe,I filtering : 50 kHz
Safety Limits :
	Do not start on E overload
Channel : Grounded
Acquisition started on : 06/21/2021 17:22:49.735
Loaded Setting File :  NONE
Saved on :
	File : Cubes_Tim_01MKHCO3_21062021_B_t1_02_CVA_C01.mpr
	Directory : C:\Users\DEMS 2019\Documents\EC-Lab\Data\Jorge\
	Host : 192.168.1.101
Device : SP-200 (SN 0161)
Address : USB
EC-Lab for windows v11.36 (software)
Internet server v11.36 (firmware)
Command interpretor v11.36 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Cable : standard
Reference electrode : SCE Saturated Calomel Electrode (0,241 V)
Electrode surface area : 0,001 cm²
Characteristic mass : 0,001 g
Equivalent Weight : 0,000 g/eq.
Density : 0,000 g/cm3
Cycle Definition : Charge/Discharge alternance
Ei (V)              -0,010              
vs.                 Ref                 
ti (h:m:s)          0:00:0,0000         
dti (s)             1,0000              
dE/dt               10,000              
dE/dt unit          mV/s                
E1 (V)              0,540               
vs.                 Ref                 
t1 (h:m:s)          0:00:0,0000         
dt1 (s)             0,0000              
Step percent        50                  
N                   20                  
E range min (V)     -10,000             
E range max (V)     10,000              
I Range             100 mA              
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           6                   
E2 (V)              -1,250              
vs.                 Ref                 
t2 (h:m:s)          0:00:0,0000         
dt2 (s)             0,1000              
nc cycles           200                 
nr                  1                   
Reverse Scan        1                   
Ef (V)              0,490               
vs.                 Ref                 
tf (h:m:s)          0:10:0,0000         
dtf (s)             0,1000              

Number of loops : 1
Loop 0 from point number 0 to 9824

mode	ox/red	error	control changes	Ns changes	counter inc.	time/s	control/V	Ewe/V	<I>/mA	cycle number	(Q-Qo)/C	I Range	P/W	
2	0	0	1	0	0	5,389119863855012E+001	2,0017333E-001	1,9969474E-001	-2,668406872544360E-002	1,000000000000000E+000	-1,0619549E-003	38	-5,3286681E-006
2	0	0	1	0	0	5,455779862171039E+001	2,0683944E-001	2,0640290E-001	-2,529706055824673E-002	1,000000000000000E+000	-1,0790842E-003	38	-5,2213868E-006
2	0	0	1	0	0	5,522439860487066E+001	2,1350537E-001	2,1308364E-001	-2,450002399862364E-002	1,000000000000000E+000	-1,0955336E-003	38	-5,2205542E-006
2	0	0	1	0	0	5,589089858803345E+001	2,2017042E-001	2,1978886E-001	-2,324827889187686E-002	1,000000000000000E+000	-1,1112889E-003	38	-5,1097127E-006
2	0	0	1	0	0	5,655739857119625E+001	2,2683540E-001	2,2646280E-001	-2,229997815102641E-002	1,000000000000000E+000	-1,1263298E-003	38	-5,0501153E-006
2	0	0	1	0	0	5,722399855435651E+001	2,3350151E-001	2,3309056E-001	-2,092810780566029E-002	1,000000000000000E+000	-1,1406405E-003	38	-4,8781444E-006
2	0	0	1	0	0	5,789059853751678E+001	2,4016742E-001	2,3978256E-001	-1,979226094706632E-002	1,000000000000000E+000	-1,1540987E-003	38	-4,7458389E-006
2	0	0	1	0	0	5,855699852068210E+001	2,4683133E-001	2,4647984E-001	-1,860682797756819E-002	1,000000000000000E+000	-1,1667794E-003	38	-4,5862080E-006
2	1	0	1	0	0	5,922359850384237E+001	2,5349748E-001	2,5311723E-001	-1,727425724040049E-002	1,000000000000000E+000	-1,1786794E-003	38	-4,3724121E-006
2	0	0	1	0	0	5,989019848700264E+001	2,6016340E-001	2,5978091E-001	-1,650282016230230E-002	1,000000000000000E+000	-1,1898261E-003	38	-4,2871179E-006
2	0	0	1	0	0	6,055659847016796E+001	2,6682734E-001	2,6643988E-001	-1,572979596602796E-002	1,000000000000000E+000	-1,2004257E-003	38	-4,1910448E-006
2	0	0	1	0	0	6,122319845332822E+001	2,7349335E-001	2,7308983E-001	-1,485180818897136E-002	1,000000000000000E+000	-1,2105529E-003	38	-4,0558775E-006
2	0	0	1	0	0	6,188979843648849E+001	2,8015935E-001	2,7975169E-001	-1,391201013133900E-002	1,000000000000000E+000	-1,2200783E-003	38	-3,8919084E-006
2	0	0	1	0	0	6,255629841965128E+001	2,8682435E-001	2,8640503E-001	-1,306887037757709E-002	1,000000000000000E+000	-1,2289990E-003	38	-3,7429902E-006
2	0	0	1	0	0	6,322279840281408E+001	2,9348928E-001	2,9310650E-001	-1,244866136421388E-002	1,000000000000000E+000	-1,2374852E-003	38	-3,6487836E-006
2	0	0	1	0	0	6,388939838597435E+001	3,0015534E-001	2,9975513E-001	-1,188721955783806E-002	1,000000000000000E+000	-1,2455756E-003	38	-3,5632549E-006
2	0	0	1	0	0	6,455599836913461E+001	3,0682147E-001	3,0646595E-001	-1,091870398896930E-002	1,000000000000000E+000	-1,2530967E-003	38	-3,3462111E-006
2	0	0	1	0	0	6,522239835229993E+001	3,1348538E-001	3,1308621E-001	-1,040549088927110E-002	1,000000000000000E+000	-1,2601214E-003	38	-3,2578157E-006
2	1	0	1	0	0	6,588899833546020E+001	3,2015130E-001	3,1977811E-001	-9,692601844825890E-003	1,000000000000000E+000	-1,2667276E-003	38	-3,0994820E-006
2	0	0	1	0	0	6,655559831862047E+001	3,2681742E-001	3,2645226E-001	-9,080175107529079E-003	1,000000000000000E+000	-1,2728474E-003	38	-2,9642435E-006
2	0	0	1	0	0	6,722199830178579E+001	3,3348137E-001	3,3310473E-001	-8,244360851652408E-003	1,000000000000000E+000	-1,2784901E-003	38	-2,7462356E-006
2	0	0	1	0	0	6,788859828494606E+001	3,4014726E-001	3,3977190E-001	-7,693249094687160E-003	1,000000000000000E+000	-1,2836949E-003	38	-2,6139498E-006
2	0	0	1	0	0	6,855519826810632E+001	3,4681338E-001	3,4646985E-001	-6,791344229800572E-003	1,000000000000000E+000	-1,2883970E-003	38	-2,3529960E-006
2	0	0	1	0	0	6,922169825126912E+001	3,5347837E-001	3,5313183E-001	-5,610817698812554E-003	1,000000000000000E+000	-1,2923981E-003	38	-1,9813583E-006
